Authors,Title,Year,Source title,Abstract,Author Keywords,Affiliations,Language of Original Document
"Sen A.K., Bagchi A., Chakraborty S.",Designing information feedback for bidders in multi-item multi-unit combinatorial auctions,2020,Decision Support Systems,"Combinatorial auctions (CAs) promote allocative efficiency and are important market mechanisms for a wide variety of specialized domains where bidders are allowed to place bids on packages of items. However, the adoption of combinatorial auctions in real-life business scenarios has been fairly limited, perhaps because bidders find it difficult to construct their bids without extensive knowledge of the current state of the auction. In this paper, we develop decision support tools for bidders to provide information feedback at runtime for the general class of combinatorial auctions namely, online (continuous) multi-item multi-unit combinatorial auctions (MUCAs), an area that has witnessed a rapid growth of interest in recent years. In online MUCAs the number of packages may be large, and bidders need real time decision support to construct their bids, such as information on the ask prices of packages. The deadness level of a package serves as the ask price, and indicates the minimum bid on the package that keeps it in contention for inclusion in winning combinations in future. It has proved a challenge to find a satisfactory method for computing the deadness levels of packages in MUCAs. Here we present exact methods for determining package deadness levels in such auctions. Both the OR and the XOR formulations are considered. Experiments on simulated data as well as on live data show that the time and memory requirements are not excessive, so it appears possible to adopt the methods for the procurement and sale of commodities in B2B and B2C markets. © 2019 Elsevier B.V.",Continuous combinatorial auctions; Electronic markets; Multi-unit auctions; Real-time bidder support,"Indian Institute of Management Calcutta, India; Heritage Institute of Technology, Kolkata, India",English
"Jha A., Saha D.","“Forecasting and analysing the characteristics of 3G and 4G mobile broadband diffusion in India: A comparative evaluation of Bass, Norton-Bass, Gompertz, and logistic growth models”",2020,Technological Forecasting and Social Change,"An empirical understanding of countrywide diffusion of third (3G) or/and fourth (4G) generations of Mobile Broadband Services (MBSs) has proven implications for both business and policy of the country. However, extant literature lacks in explanation for the diffusion and forecast of these services in India. We address this gap by analyzing both individual and multigenerational diffusions of 3G and 4G services in India, using Bass, Gompertz, Logistic and Norton-Bass models that utilize a mix of linear and non-linear regression techniques. Additionally, we evaluate the influence of several exogenous variables on the diffusion of those MBSs in India. Our analyses reveal that, firstly in case of diffusion, Bass model estimates are quite sensitive to both 3G and 4G historical data, whereas Gompertz and Logistic models fit well with the same dataset. As expected, Norton-Bass model - encompassing all the successive generations of 2G, 3G and 4G - provides more reliable estimates of the diffusion parameters. Secondly, as far as 3G forecast is concerned, Bass model works better with fixed assumptions of ultimate market potential, whereas Gompertz and Logistic models seem to be more suited for ‘optimistic’ long-range forecasts and ‘conservative’ short-term forecasts, respectively. Our results also show that 4G is diffusing at 6.1 times the speed of 3G diffusion in India, when the total MBS subscription in India is likely to reach 410 million by 2026. Finally, we notice that, among the notable external sources of influence, National Telecom Policy 2012, average revenue per user, and aggregate income variables have significant positive impacts on the diffusion of MBSs in India. © 2019 Elsevier Inc.",3G; 4G; Diffusion models; Gompertz model; Logistic model; Norton-Bass model,"S. P. Jain Institute of Management and Research (SPJIMR), Mumbai, 400058, India; Indian Institute of Management Calcutta, Kolkata, 700104, India",English
"Mahapatra A., Choudhary V., Sagar R.",Assessment of caregiver needs in parents of children suffering from neurodevelopmental disorders in an Indian population,2020,Asian Journal of Psychiatry,"Parents of children with neurodevelopmental disorders have significant unmet needs in various domains, particularly in a Low-Middle Income Country setting such as India. This study assessed parental needs using a Hindi version of the Caregiver Needs Scale (CNS) and found that 65.7% of the respondents expressed a definite need for help in all the items of the scale. The total score on CNS showed a significant negative correlation with the age of the child. Age of parent showed a significant negative correlation with scores for community and support needs. © 2019 Elsevier B.V.",Caregiver; Needs; Neurodevelopment disorder,"Department of Psychiatry, Drug de-addiction and Regional Centre for Tobacco Control Centre of Excellence in Mental Health, Dr. Ram Manohar Lohia Hospital and Post Graduate Institute of Medical Education and Research, New Delhi, India; Department of Clinical Psychology, All India Institute of Medical Sciences, New Delhi, India; Department of Psychiatry, All India Institute of Medical Sciences, New Delhi, India",English
"Hameed N., Mehrotra S., Murthy P.",Positive Youth Development Program for Mental Health Promotion in College Campuses: Stakeholder Perspectives,2020,Psychological Studies,"The present study aimed at exploring stakeholder perspectives on felt need, potential content, receptivity and feasibility of a positive youth development program for mental health promotion in college campuses. Study objectives were attained through semi-structured interviews with 20 college faculty/administrators and five focus group discussions with 64 students across 16 colleges in a metropolitan city in South India. The need and relevance of a program for mental health promotion were endorsed by all the participants, and it was considered feasible with prior planning. Suggestions for potential content of such a program included mental health awareness, dealing with depression and anxiety, managing negative emotions, managing pressures and temptations, improving self-confidence, reflection and clarity about life goals, cultivating sense of gratitude, broadening other orientation, and time management skills. The content of intervention perceived as important by the two groups of stakeholders highlighted the broad convergences between the potential themes being considered by the researchers and the stakeholder views. Potential receptivity to the program was considered to be good though it was perceived to be influenced by the awareness about the importance of such a program. Suboptimal interest of college authority and/or students and competing academics and other programs were identified as potential challenges to program implementation. The findings are discussed with respect to implications for program development as well as for further research. © 2019, National Academy of Psychology (NAOP) India.",College campuses; Mental health promotion; Positive youth development; Stakeholder perspectives,"Positive Psychology Unit, Department of Clinical Psychology, National Institute of Mental Health and Neuro Sciences, Bangalore, 560029, India; Psychology Unit, Department of Clinical Psychology, National Institute of Mental Health and Neuro Sciences, Bangalore, 560029, India; Department of Psychiatry, National Institute of Mental Health and Neuro Sciences, Bangalore, 560029, India",English
"Hiebler-Ragger M., Kamble S.V., Aberer E., Unterrainer H.F.",The relationship between existential well-being and mood-related psychiatric burden in Indian young adults with attachment deficits: A cross-cultural validation study,2020,BMC Psychology,"Background: Attachment and spirituality are thought to have deep evolutionary roots but are always interpreted within the framework of culture, religion and personal beliefs. While insecure attachment has been observed to be positively related with psychopathology, a positive mental health effect has often been described for spirituality. To examine the cross-cultural validation of previous research focused on Austrian young adults with Western socialization, we attempt to replicate our study examining the influence spirituality has on the connection between insecure attachment and mood-related psychiatric burden with Indian young adults. Methods: We investigated Avoidant (AV) and Anxious (AX) Attachment (ECR-RD), Religious (RWB) and Existential (EWB) Well-Being (MI-RSWB), and mood-related psychiatric burden (Anxiety, Depression, Somatization; BSI-18) in 443 (31% female) Indian young adults (age range: 18-30 years) with a Hindu upbringing. Results: Compared to young adults with a Roman Catholic upbringing in a Western socialization, Indian participants did not differ in AX and EWB but scored higher in mood-related psychiatric burden (eta 2 =.04), AV (eta 2 =.14), as well as RWB (eta 2 =.28; all p &lt;.01). As in previous research only AX (β =.40) positively predicted mood-related psychiatric burden (ΔR 2 =.15, all p &lt;.01), while EWB was an additional negative predictor (β =-.11, p &lt;.05). Conclusions: Our findings emphasize the universal importance of attachment and spirituality for mental health as well as the potential influence of socialization on their development. Furthermore, they underline that Existential Well-Being-including hope for a better future, forgiveness, and the experience of sense and meaning- A ppears to have a compensating effect on the relation between insecure attachment and impaired mental health. © 2020 The Author(s).",Attachment; Mental health; Mood-related psychiatric burden; Spirituality; Young adults,"Department of Psychiatry and Psychotherapeutic Medicine, Medical University Graz, Auenbruggerplatz 31, Graz, A-8036, Austria; Center for Integrative Addiction Research, Grüner Kreis Society, Rudolfsplatz 9, Vienna, A-1010, Austria; Department of Psychology, Karnatak University, Pavate Nagar, Dharwad, Karnataka, 580003, India; Department of Dermatology, Medical University of Graz, Auenbruggerplatz 8, Graz, A-8036, Austria; Department of Religious Studies, University of Vienna, Schenkenstrae 8-10/5th floor, Vienna, A-1010, Austria",English
"Jehanzeb K., Mohanty J.",The mediating role of organizational commitment between organizational justice and organizational citizenship behavior: Power distance as moderator,2020,Personnel Review,"Purpose: The purpose of this paper is to examine the relationship between organizational justice and organizational citizenship behavior (OCB) while considering the mediating effect of organizational commitment and the moderating role of power distance on this association. Design/methodology/approach: Using a stratified sampling technique the data were collected from the employees working in bank branches located in five metropolitan cities (i.e. Islamabad, Peshawar, Lahore, Quetta and Karachi) of Pakistan. A total of 409 responses were received and 379 questionnaires were considered for analysis. To test the hypotheses structural equation modeling technique was applied using AMOS 21.0. Findings: The results reported an insignificant relationship between organizational justice and OCB, but the relationship between organizational justice and organizational commitment was found to be significant. It has also emerged from the analysis that organizational commitment fully mediates the relationship between organizational justice and OCB. Moreover, power distance was found to moderate the relationship between organizational justice and organizational commitment. Research limitations/implications: Findings of this study can be useful for banking organizations and policy makers responsible for employee productivity and overall employee well-being, particularly managers working on long-term organizational vision and expect employees to respond pro-socially toward fellow workers and organizational objectives. The study also provides the scope and space for potential scholars and researchers for carrying out further research. Practical implications: Findings of this study can be useful for banking organizations and policy makers who have long-term vision and expect OCB from its employees to be sustainable in a dynamic market. The study also provides the scope and space for potential scholars and researchers for carrying out further research. Originality/value: While extensive literature is available on organizational justice and its impact on OCB, very little work seems to have been done to examine the moderating impact of power distance between organizational justice and organizational commitment, particularly in the context of a developing country like Pakistan. Therefore, this work may be considered as original and of significant value in understanding the relationships between the various constructs in the scenario of Pakistan. © 2019, Emerald Publishing Limited.",Commitment; Organizational citizenship behaviour (OCB); Organizational justice; Power; Quantitative,"Department of Management Sciences, GIFT University, Gujranwala, Pakistan; Institute of Management Technology, Ghaziabad, India",English
Sudha R.,"Gayathri mantra and social skills training for social anxiety, stress, self concept, and well being among school students with learning difficulties",2020,International Journal of Psychosocial Rehabilitation,"Gayathri Mantra is a four verse poem that was mentioned in epics of Hinduism and has been further researched for its lasting effect on mind and body. Here an attempt is being made to combine the healing effects of Gayathri mantra along with Social Skills Training for benefitting the often ignored psychological issues such as Social Anxiety, Self Concept and Well Being faced by school students with Learning Difficulties. Objectives The major objectives of the study are to understand the level of Social Anxiety, Stress, Self concept and Well being among school students with learning difficulties. An effort to improve the Self concept, Well being and to reduce the level of Social Anxiety and Stress experienced using an intervention of Social Skills Training along with the chanting/listening of Gayathri Mantra with simple Breathing Exercises. Method The Liebowitz Social anxiety Scale (Liebowitz M R, 1987) was used to pretest the Social Anxiety levels. The Perceived Stress Scale for Children (White, B P, 2014) was used to study the stress levels of students. The Self Concept Questionnaire (SCQ, Saraswat, R.K) was used to pretest the self concept and the WHO Well Being Scale was used to pretest the well being among 80 school students of the age group 10 to 17 years. This group was then randomly divided into 2 groups of 40 members each, hence 40 students in the Experimental Group and 40 students in the wait list Control Group. This was followed by an intervention of Social Skills Training Module and the chanting/listening of Gayathri Mantra for a duration of two months. A post test was conducted and the results analyzed. A follow Up study was also conducted after two months. Results and conclusions The SPSS 21 version was used to analyze obtained data. Analysis showed that the intervention of Social Skills Training and Gayathri Mantra was effective in reducing the Social Anxiety and Stress levels of the Experimental Group. Also post intervention, an improvement especially in the Self Concept was observed in the students of the experimental Group. The Well being level also shows improvement. These results were found to be maintained during the follow up study. It can be effectively concluded that the intervention of Social Skills Training with Gayathri Mantra is effective in reducing Social Anxiety and Stress among students with Learning Difficulties. Also the intervention helps to improve Self Concept and Well Being among the student. © 2020, Hampstead Psychological Associates. All rights reserved.",Gayathri Mantra; Self Concept; Social Anxiety; Social Skills Training; Stress; Well Being,"Department of Psychology, Avinashilingam Institute for Home Science and Higher education for Women, Coimbatore, Tamil Nadu  641043, India",English
"Manohar H., Kandasamy P., Chandrasekaran V., Rajkumar R.P.",Can RCTs capture it all?—Need for qualitative studies on parent-mediated interventions for children with Autism Spectrum Disorder,2020,Asian Journal of Psychiatry,"Introduction: There is a global rise in the prevalence of Autism Spectrum Disorder (ASD) and treatment gap exists across settings. In low-resource settings, there is a lack of professionals and specialist centres for intervention delivery. ‘Parent-mediated interventions’ is an essential strategy to bridge the existing treatment gap. While RCTs are required to establish evidence base, understanding parental perspectives is pivotal in designing culturally-relevant intervention models, to enhance parental involvement and sustainability. The current paper focuses on the results of a qualitative study to understand the parent perspectives and change process before and after a parent-mediated intervention program. Methods: 30 children (2–6 years) recently diagnosed to have ASD, participated in a brief parent-mediated interventions focusing on core-deficits, for 12 weeks. Parents were asked to narrate their experiences and perception of their child's disorder and interventions before and after the intervention program, during one-on-one in-depth interview. A narrative guide was used to generate response. The narratives were recorded verbatim and thematic content analysis was carried out. Results: Repetitive themes reflecting impact of the child's disorder, treatment impact and change process was examined. The broad themes generated included: 1) Change in perception of the child's developmental disorder after involvement in intervention process. 2) Change in parental attitudes from ‘lack of hope’ to ‘positive and appropriate expectations’ 3) Gain in knowledge and empowerment 4) Stress reduction 5) Appreciation of micro-gains 6) Validation of ‘hands-on training’. Behavioural interventions were the preferred treatment of choice in 66 % of parents, followed by combination therapy in 22 % and pharmacotherapy alone in 12 %. Conclusion: Parent's narratives highlighted the acceptability and feasibility of the parent-mediated interventions in our cultural setting. Understanding parental perspectives, more so when interventions are parent-mediated, is essential for tailoring interventions as well as improving sustainability. © 2019",Autism; India; Intervention; Narrative; Parent-mediated; Qualitative,"Department of Psychiatry, Jawaharlal Institute of Postgraduate Medical Education and Research (JIPMER), Puducherry, 605 006, India; Jawaharlal Institute of Postgraduate Medical Education and Research (JIPMER), Puducherry, 605 006, India",English
"Vaidyanathan S., Rajan T.M., Chandrasekaran V., Kandasamy P.",Pre-school attention deficit hyperactivity disorder: 12 weeks prospective study,2020,Asian Journal of Psychiatry,"Introduction: Extant literature lack studies on behavioural training or pharmacotherapy in Indian preschool children. With adverse long term outcomes, effective, safe and affordable early interventions for ADHD are a priority. Aim of this prospective study is to report on short term outcome of preschool ADHD with specific focus on safety and tolerability of medications. Methods: Children with ADHD aged 2.5–6 years were assessed for severity and adverse events at baseline and follow-up using Conner's abbreviated rating scale and Clinical Global Impression-Severity scale. Children with Autism spectrum disorder and those with social quotient less than 50 were excluded. Statistical Analysis included descriptive statistics and Repeated measures ANOVA. Results: Of 56 children recruited, 33.93 %(N = 19) were on behavioural interventions alone, 66.07 %(N = 37) were on a combination of medication and behavioural intervention. All children received treatment according to standard care. The most prescribed drug was clonidine (44.64%), then risperidone (28.7%), methylphenidate (10.7%) and atomoxetine (10.7%). Medication choice was determined by affordability, availability and comorbidity profile. Sedation occurred in 24 % of children on clonidine. Atomoxetine was not well tolerated in 2 children. Methylphenidate was well tolerated. Irrespective of medication choice, all children showed significant improvement at 12 weeks (p < 0.001). Conclusions: Choice of interventions is largely determined by availability and affordability. There is a need for structured parent behavioural training program deliverable in low resource setting. Anti-ADHD medications should be made available under the NMHP, RBSK program and all government settings in India, to address over-prescription of antipsychotics in preschool ADHD. © 2019 Elsevier B.V.",ADHD; Attention deficit hyperactivity disorder; Pharmacotherapy; Preschool,"Department of Psychiatry, Jawaharlal Institute of Postgraduate Medical Education and Research, Puducherry, India; Department of Child and Adolescent Psychiatry, National Institute of Mental Health and Neuro-Sciences, Bangalore, India; Department of Pediatrics, Jawaharlal Institute of Postgraduate Medical Education and Research, Puducherry, India",English
"Kuanr A., Pradhan D., Chaudhuri H.R.","I (do not) consume; therefore, I am: Investigating materialism and voluntary simplicity through a moderated mediation model",2020,Psychology and Marketing,"With the burgeoning of consumer culture and materialism on a global scale, a counter-culture movement, namely, voluntary simplicity, is slowly gaining currency. Extant research reveals a degree of disparateness in the relationship between materialism and voluntary simplicity. Drawing on the value-basis theory and anti-consumption research, the current study attempts at an unorthodox study of the fledgling culture of anti-consumption in urban India. The paper empirically examines the relationship between materialism and voluntary simplicity in India. This research, through an experimental study followed by a sample survey, conducted among urban Indian consumers, examines how satisfaction with life, self-efficacy, and individualism interact with materialistic values to eventually influence voluntary simplicity attitudes. In Study 1 (N = 74 working professionals), we experimentally triggered materialistic aspirations and evaluated their effects on voluntary simplicity in comparison to a control condition. In Study 2 (N = 315), individuals self-rated their materialistic values, satisfaction with life, self-efficacy, cultural orientation, and voluntary simplicity attitude. Our study, contrary to the suggestions in the existing literature, demonstrates that materialists espouse voluntary simplicity attitudes when environmental degradation around them directly impacts their health, wealth, and well-being. In addition to the positive direct effect, satisfaction with life and self-efficacy serially mediate the relationship between materialism and voluntary simplicity, providing a welcome divergence from dark-sided conceptualizations of materialism. Our results help global marketers, and public policymakers better understand the interaction between materialistic values and sustainable consumption attitudes, in the developing country perspective. © 2019 Wiley Periodicals, Inc.",anti-consumption; India; individualism; materialism; satisfaction with life; self-efficacy; voluntary simplicity,"Department of Marketing, Xavier School of Management, XLRI, Jamshedpur, India",English
"Simione L., Raffone A., Mirolli M.","Stress as the Missing Link Between Mindfulness, Sleep Quality, and Well-being: a Cross-sectional Study",2020,Mindfulness,"Objectives: There is ample evidence that mindfulness contributes to psychological well-being. There is also evidence that mindfulness can improve sleep, and previous research has suggested that the positive effects of mindfulness on well-being may depend on its capacity to decrease sleep disturbances. However, it is possible that a third factor that is affected by mindfulness may in turn affect both sleep quality and well-being. Given the well-known protective effects of mindfulness on stress and the influence of stress on both sleep disturbance and well-being, stress represents a strong candidate for such a mediational role. Methods: We collected cross-sectional data on mindfulness, stress, sleep disturbance, and well-being in a sample of adults taken from the general population, and then we applied structural equation modeling to analyze the relationships between a set of latent variables. Results: Our results confirm that mindfulness is negatively related to stress and this effect fully mediates the positive relationship between mindfulness and both sleep quality and well-being. Furthermore, our results show that if the effect of stress is taken into account, sleep quality does not mediate the influence of mindfulness on well-being and in fact does not relate to well-being at all. Conclusions: Our study points to the central role of stress reduction in explaining the beneficial effects of mindfulness on both behavioral and psychological variables. © 2019, Springer Science+Business Media, LLC, part of Springer Nature.",Mediation; Mediation analysis; Mindfulness; SEM; Sleep; Stress; Structural equation modeling; Well-being,"Institute of cognitive sciences and technologies, CNR, Rome, Italy; Department of Psychology, “Sapienza,” University of Rome, Rome, Italy; School of Buddhist Studies, Philosophy and Comparative Religions, Nalanda University, Rajgir, India",English
Chakraborty S.,Featured counter-trafficking program: Kolkata Sanved's model Sampoornata,2020,Child Abuse and Neglect,"This invited article is one of several comprising part of a special issue of Child Abuse and Neglect focused on child trafficking and health. The purpose of each invited article is to describe a specific program serving trafficked children. Featuring these programs is intended to raise awareness of innovative counter-trafficking strategies emerging worldwide and facilitate collaboration on program development and outcomes research. This article describes Kolkata Sanvedan India-based organization dedicated to utilizing a special form of dance movement therapy (DMT), Sampoornata, as a form of trauma therapy for survivors of trafficking and sexual violence. The Sampoornata model has been employed to promote healing and wellbeing through integration in the individual's social framework and encouraging comprehensive wellbeing. © 2019 Elsevier Ltd",Dance Movement Therapy; Empowerment; Sampoornata; Sexual Violence; Social Development; Wellbeing,"Kolkata Sanved, Flat No 2C, Poulomi Apartment, Kolkata, 700029, India",English
Mukherjee M.,Featured Counter-Trafficking Program: ARPAN,2020,Child Abuse and Neglect,"This invited article is one of several comprising part of a special issue of Child Abuse and Neglect focused on child trafficking and health. The purpose of each invited article is to describe a specific program serving trafficked children. Featuring these programs is intended to raise awareness of innovative counter-trafficking strategies emerging worldwide and facilitate collaboration on program development and outcomes research. This article describes a long-term psychotherapeutic intervention started by Arpan in 2010, in an institution named Advait Foundation. Advait runs a rehabilitation home, Project Baharati, in Vasai, Mumbai, India. Project Bharati serves adolescent females who have experienced commercial sexual exploitation and sexual abuse. The psychotherapeutic intervention uses group and individual therapy, employing trauma-focused cognitive behavioral and arts-based therapeutic techniques. © 2019 Elsevier Ltd",Commercial sexual exploitation of children; Group session; Institutional care; Mental health; Psychotherapeutic intervention; Trafficking,"Arpan, J-1 Cama Industrial Estate, off Val Bhatt Rd, Goregaon (East), Mumbai, 400063, India",English
"Bhattacharjee D., Mandal S., Shit P., Varghese M.G., Vishnoi A., Bhadra A.",Free-Ranging Dogs Are Capable of Utilizing Complex Human Pointing Cues,2020,Frontiers in Psychology,"Dogs are one of the most common species to be found as pets and have been subjects of human curiosity, leading to extensive research on their socialization with humans. One of the dominant themes in dog cognition pertains to their capacity for understanding and responding to human referential gestures. The remarkable sociocognitive skills of pet dogs, while interacting with humans, is quite well established. However, studies regarding the free-ranging subpopulations are greatly lacking. The interactions of these dogs with humans are quite complex and multidimensional. For the first time, we tested 160 adult free-ranging dogs to understand their ability to follow relatively complex human referential gestures using dynamic and momentary distal pointing cues. We found that these dogs are capable of following distal pointing cues from humans to locate hidden food rewards. However, approximately half of the population tested showed a lack of tendency to participate even after successful familiarization with the experimental setup. A closer inspection revealed that anxious behavioral states of the individuals were responsible for such an outcome. Finally, we compared the results using data from an earlier study with dynamic proximal cues. We found that free-ranging dogs follow distal cues more accurately compared to proximal cue. We assume that life experiences with humans probably shape personalities of free-ranging dogs, which in turn influence their responsiveness to human communicative gestures. © Copyright © 2020 Bhattacharjee, Mandal, Shit, Varghese, Vishnoi and Bhadra.",distal cues; interspecific communication; point following; referential gestures; social cognition,"Department of Biological Sciences, Indian Institute of Science Education and Research Kolkata, Kolkata, India; Department of Environmental Science, University of Calcutta, Kolkata, India; Department of Zoology, CMS College Kottayam, Kottayam, India; Department of Biological Sciences, Indian Institute of Science Education and Research Bhopal, Bhopal, India",English
"Kuriakose V., S S., Jose H., Jose S.",Testing activity reduces conflict associated strain (ARCAS) model: A test of moderated mediation model of relationship conflict and employee well-being,2020,Personnel Review,"Purpose: The purpose of this paper is to test the activity reduces conflict associated strain (ARCAS) model with the aid of AET examining the direct effect of relationship conflict on employee well-being and also discussing the mechanism through which relationship conflict influences employee well-being, and also to test the ARCAS model examining whether passive and active conflict management styles influence this relationship. Design/methodology/approach: Responses were collected from 554 software engineers using structured questionnaire and postulated relationships were tested using Process Macros. Findings: The study established that relationship conflicts are detrimental to employee well-being. It also established the indirect effect of relationship conflict on employee well-being through negative affect state. Negative affect state is an intra-personal mechanism linking relationship conflict and employee well-being. The study also extended the ARCAS model by establishing that passive ways of handling conflict amplify and problem-solving conflict management style mitigates the adverse impact of relationship conflict. Contrary to the prediction, forcing conflict management style was found to amplify the adverse effect of relationship conflict on well-being through negative affect state. Practical implications: The findings of the study highlight the detrimental effect of relationship conflict on well-being and highlight the vital role of individual affective states in the conflict process. Furthermore, the study provides valuable insights for managers on how individuals’ conflict management styles influence the effect of relationship conflict on well-being. Originality/value: The study specifically examined the effect of relationship conflict on employee well-being and explored the psychological process through which relationship conflict diminishes well-being. Moreover, the study tested and extended ARCAS model with the aid of Affective Events Theory. © 2019, Emerald Publishing Limited.",ARCAS model; Conflict management styles; Employee well-being; Negative affect state; Quantitative; Relationship conflict,"School of Management Studies, Cochin University of Science and Technology, Kochi, India; Indian Institute of Management Kozhikode, Kozhikode, India; Rajagiri College of Social Sciences, Cochin, India",English
"Kumar S., Saini R., Jain R.",Hand preference and intolerance of uncertainty: Atypical cerebral lateralization advantages lower intolerance of uncertainty,2020,Laterality,"Left and inconsistent hand preferences are the markers of atypical brain organization that relate with cognitive and behavioural traits as well as with developmental disorders, whereas intolerance of uncertainty is the trait of inability to bear future uncertainty that mediates anxiety disorders and depression. In the present study, relationship of hand preference with intolerance of uncertainty was studied in a sample of 862 college students (age: M = 21.4 years, SD = 3.12). Results show that left-handers had lower prospective intolerance of uncertainty than right-handers. Furthermore, inconsistent right-handers had lower inhibitive intolerance of uncertainty than consistent right-handers. Thus, the present study supports the likelihood that atypical brain organization advantages tolerance of uncertainty (i.e., lower intolerance of uncertainty). Implications of these findings for understanding the contribution of intolerance of uncertainty to anxiety have been discussed. © 2019, © 2019 Informa UK Limited, trading as Taylor & Francis Group.",Anxiety; laterality; prefrontal cortex; sex hormone; uncertainty,"Department of Psychology, D.A.V. College, Muzaffarnagar, UP, India",English
"Kausik N.H., Hussain D.",Integrating Nurtured Heart Approach with Self-Determination Theory: A Proposed Intervention Model for Managing Disruptive Behaviors of Children,2020,Child Care in Practice,"This paper presents a conceptual framework to understand the Nurtured Heart Approach (NHA) through the perspective of Self-Determination Theory (SDT). The Nurtured Heart Approach and the Self-Determination Theory are discussed and the parallels are drawn between the two, to provide a theoretical foundation to NHA and support for its effectiveness, which is otherwise lacking. The NHA, developed to help parents manage the undesirable behaviors of children, does not have a foundation of any particular theory. The approach is backed by anecdotal reports rather than empirical findings. Self-Determination Theory is a broad theory of motivation that proposes that human beings have three basic psychological needs-the need for autonomy, relatedness, and competence. The main techniques of NHA fit well with the elements which support the satisfaction of these basic psychological needs. The paper provides a theoretical framework to NHA by highlighting how it brings about sustainable behavioral change and self-regulation by fulfilling the satisfaction of the three basic psychological needs as proposed by SDT. © 2018, © 2018 The Child Care in Practice Group.",Nurtured heart approach; psychological needs; self-determination theory; undesirable behavior,"Department of Humanities and Social Sciences, Indian Institute of Technology Guwahati, Guwahati, Assam, India",English
"Suren, Moses P.J.C., Kimberling C.",The circumcevian-inversion perspector of two triangles,2020,Journal for Geometry and Graphics,"Beginning with a point P in the plane of a triangle ABC, reflections and circumcircle-inversions are used to define a triangle X0Y 0Z0 that is perspective to ABC. The perspector, denoted by Cip(P), defines a transform, Cip, that is applied to selected curves; e.g., Cip maps the Euler line to itself in a manner well represented by Shinagawa coefficients, and in general Cip maps lines to conics. Barycentric coordinates are used to determine properties of Cip and related points and mappings. Four new equilateral triangles are presented. © 2020 Heldermann Verlag.",Barycentric coordinates; Circumcevian; Circumcircle; Inversion; Perspective; Shinagawa coefficients,"156, Prem Nagar, Haryana, Hisar, 125001, India; Engineering Division, Moparmatic Co., Astwood Bank, nr. Redditch, Worcestershire, B96 6DT, United Kingdom; Department of Mathematics, University of Evansville, Evansville, IN  47722, United States",English
"Bhattacharyya S., Hirisave U., Philip M., Janardhana N.",Development of “My Experiences Scale” for Children and Adolescents in India,2020,Indian Journal of Psychological Medicine,"Background: Experiences that a child or adolescent goes through play a critical role in their development as an individual. To understand the world of adolescents and their mental health and well-being, it would be important to be able to access their experiences. Therefore, an objective measure to assess experiences is necessary. The study aimed to develop a scale to assess experiences and establish their psychometric properties. Materials and methods: My Experiences Scale (MES) is a newly developed 50-item, multiple-choice, self-report measure. Various steps involved in developing the MES and establishing its psychometric properties have been elaborated. The study was carried out across four phases, and the sample consisted of 1,260 school-going children and adolescents. The participants were representative of both genders, a wide age range, and diverse socioeconomic backgrounds. Results: MES was found to have good internal consistency (Alpha 0.85) and test–retest reliability (0.96). MES was found to have significant correlations with Strengths and Difficulties Questionnaire and global self-worth. Conclusions: The newly developed experiences scale shows promising psychometric properties and a wide scope for application. © 2020 Indian Psychiatric Society - South Zonal Branch.",Experiences in children and adolescents; experiences scale; steps in scale construction,"Dept of Clinical Psychology, NIMHANS, Bengaluru, Karnataka, India; Dept of Biostatistics, NIMHANS, Bengaluru, Karnataka, India; Dept of Psychiatric Social Work, NIMHANS, Bengaluru, Karnataka, India",English
"Kumari R., Ranjan J.K., Verma S., Asthana H.S.",Hindi Adaptation and Psychometric Validation of the Affiliate Stigma Scale,2020,Indian Journal of Psychological Medicine,"Background: The Affiliate Stigma Scale (ASS) is a widely used tool to measure affiliate stigma in the caregivers of individuals with various types of mental illnesses. However, the Hindi adaptation of this scale with evident psychometric properties is not available. This study aimed to adapt the ASS in the Hindi language and, further, to validate it in the Indian setting. Methods: Translation and back-translation methods were used to translate the original items of the ASS to the Hindi language. After completion of translations and linguistic adaptation process, the Hindi translated version of the ASS, WHO Quality of Life-BREF (WHOQOL-BREF), General Health Questionnaire-12 (GHQ-12), and Hospital Anxiety and Depression Scale (HADS) were administered to 140 caregivers of persons with mental illness. Purposive sampling method was adopted. The age range of the participants was 17–60 years. Psychometric properties, as well as the factor structures of the scale, were evaluated. Results: The Hindi version of the ASS has adequate internal consistencies (r = 0.87–0.93) and test–retest reliability (r = 0.78, P < 0.001). The concurrent validity of this scale was also high, as the correlation coefficients among the Hindi version of the ASS, WHOQOL-BREF, GHQ-12, and HADS were ranging from 0.23 to 0.35. The exploratory factor analysis revealed three underlying factors, namely, cognition, affect, and behavior. Conclusions: The Hindi version of the ASS is a reliable and valid psychometric tool to measure affiliate stigma in caregivers of patients with mental illness. © 2020 Indian Psychiatric Society - South Zonal Branch.",Affiliate Stigma Scale; Factor structure; Hindi adaptation; Mental illness,"Dept of Psychology, Banaras Hindu University, Varanasi, Uttar Pradesh, India",English
